OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,POP_DENSITY,B01001_001E,B01001_001M,B09020_021E,B09020_021M,SHAPE_Length,SHAPE_Area
1,01,01779775,0400000US01,01,AL,Alabama,00,131174192284,4593183334,37.1738519223555,4876250,0,20999,569,18.985613862584,12.8918664924947
2,02,01785533,0400000US02,02,AK,Alaska,00,1478927050067,245394222619,0.498380227724287,737068,0,2444,312,566.659984070257,282.010908824114
3,04,01779777,0400000US04,04,AZ,Arizona,00,294360282618,859561204,23.9512577488227,7050299,0,17822,726,23.8419076475496,28.9192200324067
4,05,00068085,0400000US05,05,AR,Arkansas,00,134776580080,2956395922,22.2543857265086,2999370,0,17572,489,21.8590555111028,13.5854485313068
5,06,01779778,0400000US06,06,CA,California,00,403660088482,20305454540,97.3182589037453,39283497,0,136185,1628,44.117752191612,41.6682732257058
6,08,01779779,0400000US08,08,CO,Colorado,00,268419875371,1184637800,20.9013918669234,5610349,0,16997,556,22.0191992569839,28.0392507092187
7,09,01779780,0400000US09,09,CT,Connecticut,00,12542497381,1815617293,285.036854415908,3575074,0,25530,705,6.70657239991317,1.39667886755957
8,10,01779781,0400000US10,10,DE,Delaware,00,5046620081,1399291164,189.681011178935,957248,0,4409,212,4.28507841416186,0.541590070211902
9,11,01702382,0400000US11,11,DC,District of Columbia,00,158340389,18687196,4374.6450566065,692683,0,3629,329,0.645734240135623,0.0183735483200566
10,12,00294478,0400000US12,12,FL,Florida,00,138947364717,31362872853,150.428444919206,20901636,0,82491,1521,43.6490956624589,13.9348483900936
11,13,01705317,0400000US13,13,GA,Georgia,00,149484604230,4420380296,69.5981171679221,10403847,0,32288,615,20.697519950491,14.6684616011691
12,15,01779782,0400000US15,15,HI,Hawaii,00,16634006436,11777792811,85.4931736062243,1422094,0,7059,483,14.6190104901806,1.44826328590201
13,16,01779783,0400000US16,16,ID,Idaho,00,214049897859,2391604238,8.02499798963476,1717750,0,4564,220,30.7882177579954,24.4564610023327
14,17,01779784,0400000US17,17,IL,Illinois,00,143779863817,6215723896,88.8207198210606,12770631,0,70563,1054,21.4398903939551,15.4082106338098
15,18,00448508,0400000US18,18,IN,Indiana,00,92790048198,1537252652,71.8363998020175,6665703,0,38992,634,17.180574770371,9.87374889481573
16,19,01779785,0400000US19,19,IA,Iowa,00,144660467237,1084981626,21.7025982285574,3139508,0,24472,416,20.2465046324864,15.8572388323413
17,20,00481813,0400000US20,20,KS,Kansas,00,211753474780,1346010601,13.7454745572605,2910652,0,19855,374,21.4055389572638,22.0043277343008
18,21,01779786,0400000US21,21,KY,Kentucky,00,102282218059,2372611005,43.4978052336881,4449052,0,24655,491,22.4636485614097,10.6679403582871
19,22,01629543,0400000US22,22,LA,Louisiana,00,111899106382,23752001883,41.6836394034895,4664362,0,22952,679,38.8045751765123,11.5442087789237
20,23,01779787,0400000US23,23,ME,Maine,00,79887659040,11745717739,16.7171252237009,1335492,0,9511,378,37.6034758942863,9.75320539172595
21,24,01714934,0400000US24,24,MD,Maryland,00,25151726296,6979340970,239.301586267548,6018848,0,28538,703,28.7194184181003,2.77229835806167
22,25,00606926,0400000US25,25,MA,Massachusetts,00,20204387828,7130663019,339.062636211439,6850553,0,41096,894,17.6297312470911,2.31854783369275
23,26,01779789,0400000US26,26,MI,Michigan,00,146608689865,103878116983,67.9718576653007,9965265,0,48009,850,58.0978422847974,17.0547667787834
24,27,00662849,0400000US27,27,MN,Minnesota,00,206230065476,18942261495,26.9765612844042,5563378,0,34153,599,35.0807593196968,25.5395620153738
25,28,01779790,0400000US28,28,MS,Mississippi,00,121536584987,3923863925,24.555717114474,2984418,0,15620,478,24.6095201178509,11.8854166203589
26,29,01779791,0400000US29,29,MO,Missouri,00,178049911275,2489250399,34.2876329242922,6104910,0,40427,671,24.7132958732242,18.6154449481328
27,30,00767982,0400000US30,30,MT,Montana,00,376966832749,3869031338,2.78711257523169,1050649,0,5463,258,36.3101196190043,45.0797986102684
28,31,01779792,0400000US31,31,NE,Nebraska,00,198953801353,1374686302,9.62319386199117,1914571,0,12800,357,24.1940176763819,21.614456008197
29,32,01779793,0400000US32,32,NV,Nevada,00,284537049864,1839662829,10.4463794835179,2972382,0,5890,324,23.8186892377616,29.939668521755
30,33,01779794,0400000US33,33,NH,New Hampshire,00,23189198255,1026903434,58.1358607216755,1348124,0,9008,281,9.52798255128175,2.68356660681959
31,34,01779795,0400000US34,34,NJ,New Jersey,00,19048848841,3543837357,466.091314709278,8878503,0,45600,721,8.69260338686502,2.13007637804955
32,35,00897535,0400000US35,35,NM,New Mexico,00,314197253999,727781442,6.65968264638831,2092454,0,6933,361,23.6745254104304,30.8929171070669
33,36,01779796,0400000US36,36,NY,New York,00,122050000805,19246143659,160.363120613746,19572319,0,114887,1462,30.8682343592076,14.0069685755464
34,37,01027616,0400000US37,37,NC,North Carolina,00,125925929633,13463401534,81.5151893650186,10264876,0,44153,666,41.2633223579445,12.7821920156695
35,38,01779797,0400000US38,38,ND,North Dakota,00,178695635183,4411365971,4.23466974571066,756717,0,6714,198,24.8454486126729,21.8397965654581
36,39,01085497,0400000US39,39,OH,Ohio,00,105823701267,10274036690,110.139759434351,11655397,0,74670,933,17.9352577576507,11.3199127250773
37,40,01102857,0400000US40,40,OK,Oklahoma,00,177662675149,3374950118,22.1367262240177,3932870,0,19944,521,27.2111117398706,18.0050010438956
38,41,01155107,0400000US41,41,OR,Oregon,00,248607777514,6191602576,16.6117208451672,4129803,0,17680,667,25.9604801544946,28.1784543179937
39,42,01779798,0400000US42,42,PA,Pennsylvania,00,115880457407,3398574954,110.385567042362,12791530,0,90172,1531,17.334145946308,12.5358377028836
40,44,01219835,0400000US44,44,RI,Rhode Island,00,2677787140,1323663210,394.815175637896,1057231,0,7568,289,5.80162297301666,0.307750273652801
41,45,01779799,0400000US45,45,SC,South Carolina,00,77864659170,5075874513,64.4811915125474,5020806,0,19363,393,15.9258765486591,7.85639919458976
42,46,01785534,0400000US46,46,SD,South Dakota,00,196346195316,3383460688,4.43419847580338,870638,0,7945,545,23.3987821770753,22.5783316353292
43,47,01325873,0400000US47,47,TN,Tennessee,00,106805839178,2347012319,62.8182508712689,6709356,0,30915,619,22.3742798538323,10.8892716962164
44,48,01779801,0400000US48,48,TX,Texas,00,676668210823,18991880422,41.7647165153918,28260856,0,92574,1087,71.9765922570574,65.3276707563914
45,49,01455989,0400000US49,49,UT,Utah,00,213355135666,6529910339,14.5149915905845,3096848,0,5023,464,20.001215013569,22.975116780702
46,50,01779802,0400000US50,50,VT,Vermont,00,23874197924,1030383955,26.150114110112,624313,0,4054,203,9.57125437062138,2.79795351297077
47,51,01779803,0400000US51,51,VA,Virginia,00,102258306285,8527942672,82.6775184055651,8454463,0,28644,526,33.6140585675716,10.6857787528406
48,53,01779804,0400000US53,53,WA,Washington,00,172117954267,12549727444,43.0176330617682,7404107,0,28696,742,47.9612543578732,20.8996360558688
49,54,01779805,0400000US54,54,WV,West Virginia,00,62266231560,489271086,29.1860444171708,1817305,0,9767,289,20.1969832674113,6.49387972628266
50,55,01779806,0400000US55,55,WI,Wisconsin,00,140293020078,29344176961,41.275866730793,5790716,0,33255,640,28.3859908843106,16.4901861957261
51,56,01779807,0400000US56,56,WY,Wyoming,00,251458578211,1867637632,2.31061514836237,581024,0,2671,145,21.9955352148813,27.970714628137
55,72,01779808,0400000US72,72,PR,Puerto Rico,00,8868701898,4922576715,374.1750526927,3318447,0,12099,791,6.8618085229661,0.771304755284832
